Team, Spielbetrieb, Eingetragen, Spieldauer
wjb,verbandsliga, 2019-02-18,  2*35 min; 2x2 minuten pause. 30 Min vor Anpfiff; 2h danach; insgesamt 2.5h
ma,verbandsliga, 2019-02-18, ?
mb,verbandsliga, 2019-02-24, 2x20 minuten
mjb,verbandsliga,2019-02-24, 2*35 min; 2x2 minuten pause. 30 Min vor Anpfiff; danach; insgesamt 2.5h
kb,verbandsliga,?, 2x20 minuten
mc1,osb,?,?
mc2,osb,?,?
kc,osb,?,?
md1,osb,?,?
kd1,osb,?,?
